Comment,Comment ID,Label
"Tucker, Iove you. Thank God for your views, also your morals. My prayers are with you. No matter how bleak things get or how bad things look, keep that wonderfly,uplifting laugh & bit of a giggle you have that breaks the iice & the evil ones can't penetrate. Your unique. Keep reading the word of God, he has a work for you, much love & prayers Joan Roberts Sparta, TN.",UgweGfE5Sb8ZeDVbUeJ4AaABAg,2
I voted for Obama. I wish someone would run against Biden. I will absolutely not vote for him.,UgwY4nXmX1uS69oT5rB4AaABAg,2
Brilliant 👏 thank you,UgxZprsipjxZQ0r8Rtd4AaABAg,1
"Thank you Chamath for the co-op/college info. Never knew about it, great tip!",UgyOHe0tda52Zu1902x4AaABAg,1
The left hates this,Ugx45PX4UMfy7jzgriN4AaABAg,2
V se o valor e horário da manhã e o valor e horário normal e o valor da entrada e horário da manhã r viu o valor e horário da passagem da manhã e o valor e horário normal hj f xi w r era w se o mesmo horário da passagem e horário normal hj f tua irmã e horário normal,UgynBlM4ez36qAmkkP54AaABAg,2
His views on Japan are miss information. There are many negatives to Japanese society that he’s not familiar with. He glossed over the non-religiousness and high cost of living and insane work culture.,Ugw2FUpTZMb6Kq6EBV54AaABAg,2
Jcal must be making a fortune selling his virtual fugazzis in the middle east. His opinion on the region directly correlates with how he can pump to them rather than his usual clientele of functional alcoholic dentist's.,UgxoQEx6j-yFdBy6xep4AaABAg,0
algo algo algo,UgyEhuICnOHodAbSg5N4AaABAg,2
"If you understand God's word and His creation, then you know climate con is a bald face lie. And if there were a miniscule rise in warnth, that would be natural from God in order to support the increase in the pop.",UgxWHchkz9DaxvZnB394AaABAg,2
Epic intro :) !!,Ugz_T9o7W38EIFK7TGh4AaABAg,1
How's Tucker not gonna mention the ~800 million defamation lawsuit against Fox when talking about his firing?,UgwkmYXTBKZDJORiHzt4AaABAg,2
"Bill Gates is a Eugenicist, not a Philanthropist.",UgwKsPOwx_uLrhpvUZd4AaABAg,2
Popeyes better than Chick-fil-A is cap,UgxzzzikHDNdV-D4pAd4AaABAg,2
"I can’t believe Jason and Friedberg (disregarding the one minor point of clarification you made, which really totally ignored every point both of them articulated) didn’t engage with Chamath and Sacks on anything they said.  That is the problem that I have with smart Democrats.   How can people claim to be enlightened or intelligent without the willingness to engage with those that are well meaning, well spoken, intelligent, well mannered individuals that happen to disagree with them on a political issue as large as denying the opposing party of their leading candidate for President? Is the action by the Colorado court indefensible, Jason? Your silence says so much more than your words in this instance ever could.  You are obfuscating any responsibility of the Democratic Party to justify their partisan hatchet job. I’m a man that helped get Dems elected to four terms in house and a term in the senate and this behavior is so far past disgusting that the Dems have forever lost my vote, this IS NOT WHAT AMERICA IS, SHOULD EVER BE. We are supposed to be the example. Trump left office, he didn’t barricade himself in the White House, the guy left.  What is wrong with all of you.  I mean Hillary IS STILL LITERALLY saying Trump stole the 2016 election because of Russian collusion that was of her creation.  The Republicans haven’t tried to disappear her like the soviets….The hypocrisy is so thick i would need a nuclear weapon to break through it at this point.",UgxejME8agKSeMYfqIJ4AaABAg,0
Jordan Peterson and Russel Brand's spirit is definitely evident in Tucker Carlson,UgylQoYZm4CbHkc604N4AaABAg,2
Top 3 episode ever,UgwIDv3_CGlJP4aUW6V4AaABAg,1
I think he's right that affirmative action and dividing us down immutable lines is a recipe for violence.,UgzGD1Wp3Rxx8Qttxy14AaABAg,2
Loved the phone a friend 😂,UgyPs-HeaXSK1Dcglgx4AaABAg,1
Love you guys! So funny 😂😊❤,Ugz72MddGoFUdkUcH4V4AaABAg,1
Missed you 😞😞😞😞,UgyTt8nfYksV_xWDuKF4AaABAg,1
"The plot thickens….  Tucker’s most left field point about how private equity wives are killing American democracy, seems somehow strangely aligned with Elon’s GFY recent comments.  Something fishy going on here.",Ugw3L5RBZARZG4b8_ox4AaABAg,2
Do people pay someone to find them a house? Is this typical of normal people or just the ultra wealthy?,UgyCE-AiaP1ylTnGYIV4AaABAg,2
"Look around us!  So many of the elements of the culture war (Trans, Climate Change, Abortions, inflation, fetanyl at the border, etc) indirectly and DIRECTLY lead to one thing i.e. a lower pop.",UgwM5gIPH00dNBrxfw94AaABAg,2
Wise men.....,Ugz4usaUCAFGhxhzLVl4AaABAg,2
